sample_id,is_cse,comp_base,Unit,comp_var,IC50_var,SE_var,IC50_base,SE_base,ratio,ratio_lwr,ratio_upr,p_value
ASC397,FALSE,KBrO3,mM,Erastin,0.9628796101571825,0.08116852473828459,1.0621570246531888,0.039976958564071734,0.9065322619991879,0.7564849167983029,1.0863412128869665,0.28781033477771006
ASC397,FALSE,KBrO3,mM,NAC,1.1001369386342184,0.05340321791327544,1.0621570246531888,0.039976958564071734,1.035757343876185,0.9182747084404751,1.1682705246400575,0.5673417494562474
ASC397,FALSE,KBrO3,mM,SFN,0.8187655531741413,0.02528025134040692,1.0621570246531888,0.039976958564071734,0.7708517047575723,0.7006999475710181,0.8480268234463229,8.98522546407795e-8
ASC397cse,TRUE,KBrO3,mM,Erastin,0.9504081709777863,0.09258606567322072,1.2464830995942253,0.09203481637638303,0.7624717665944913,0.6000311996924799,0.968888276395756,0.02651641474027356
ASC397cse,TRUE,KBrO3,mM,NAC,1.204515849608347,0.05240688335029344,1.2464830995942253,0.09203481637638303,0.9663314729260749,0.8169129378540573,1.143079601628615,0.6894326167722253
ASC397cse,TRUE,KBrO3,mM,SFN,0.8486686384865287,0.023332383195199865,1.2464830995942253,0.09203481637638303,0.6808504975019722,0.583426329557774,0.7945431607449921,1.0658611613455203e-6
ASC399,FALSE,KBrO3,mM,Erastin,0.6468772252972936,0.13552587673160824,0.6483652989939568,0.1115667489922261,0.9977048838070574,0.58644180217627,1.697380765624986,0.9932378325903206
ASC399,FALSE,KBrO3,mM,NAC,1.025711185495431,0.032038500742676355,0.6483652989939568,0.1115667489922261,1.5819958086698767,1.1228957610252281,2.228800593533302,0.008721561282105897
ASC399,FALSE,KBrO3,mM,SFN,0.814299417109707,0.021492222186341,0.6483652989939568,0.1115667489922261,1.2559268954912048,0.892851216709638,1.7666463765722156,0.19054433114204716
ASC399cse,TRUE,KBrO3,mM,Erastin,0.6115914086816701,0.14833560028593978,0.9158791086278376,0.16530499092113501,0.6677643402063742,0.36921319464146396,1.207728273319886,0.18164554934988889
ASC399cse,TRUE,KBrO3,mM,NAC,1.2116570711844963,0.0844447702560241,0.9158791086278376,0.16530499092113501,1.3229443272265384,0.9054225348626703,1.9329999260580992,0.14804211783651214
ASC399cse,TRUE,KBrO3,mM,SFN,0.9130554886106081,0.0383182333948758,0.9158791086278376,0.16530499092113501,0.9969170385145483,0.6933080101823345,1.4334805989321318,0.9867053548739401
