Compound,unit,n,median_ratio,CI_low,CI_high
BSO,mM,3,3.789923101660954,0.01669156769276274,1117807934.827279
BSO_CSE,mM,3,0.08423511874341569,0.04792819910021746,0.6787355823496916
Rotenone,mM,2,0.830396940803047,0.6794137789131397,0.9813801026929544
Rotenone_CSE,mM,3,0.6666417153239251,0.09197840041672828,0.716701976914679
