conc,conc_lab,line,estimate,SE,df,lcl,ucl
CC,CTL-CTL,ASC399,25.297827610371428,NA,Inf,NA,NA
CX,CTL-CSE,ASC399,16.210526315789537,NA,Inf,NA,NA
XC,CSE-CTL,ASC399,25.964912280701906,NA,Inf,NA,NA
XX,CSE-CSE,ASC399,15.328907664454064,NA,Inf,NA,NA
CC,CTL-CTL,ASC399cse,32.77372262773724,NA,Inf,NA,NA
CX,CTL-CSE,ASC399cse,26.15235322658908,NA,Inf,NA,NA
XC,CSE-CTL,ASC399cse,32.37569060773489,NA,Inf,NA,NA
XX,CSE-CSE,ASC399cse,34.95575221238945,NA,Inf,NA,NA
