conc,conc_lab,line,estimate,SE,df,lcl,ucl
0,0,ASC399,23.936788287241466,NA,Inf,NA,NA
0.03,0.03,ASC399,30.080456786919285,NA,Inf,NA,NA
0.06,0.06,ASC399,20.093557303848627,NA,Inf,NA,NA
0.12,0.12,ASC399,52.6608695652174,NA,Inf,NA,NA
0,0,ASC399cse,19.33520599250938,NA,Inf,NA,NA
0.03,0.03,ASC399cse,34.05501782985228,NA,Inf,NA,NA
0.06,0.06,ASC399cse,29.729018679294917,NA,Inf,NA,NA
0.12,0.12,ASC399cse,28.335093277015144,NA,Inf,NA,NA
