sample,CC,CX,XC,XX
ASC399,83.1% (81.7%–84.4%),78.3% (77.1%–79.5%),88.7% (87.0%–90.2%),82.2% (80.9%–83.5%)
ASC399cse,91.9% (90.3%–93.2%),96.8% (95.9%–97.5%),99.8% (99.2%–99.9%),99.9% (99.2%–100.0%)
