contrast,line,ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
0.2mM / 0mM,ASC399,1.3954513048241257,0.1467974775837071,Inf,1.0847809375271413,1.7950945456087843,1,3.1675566340375654,0.0015372576481184348
1mM / 0mM,ASC399,3.006979508768856,0.31575635415014575,Inf,2.338593070486778,3.866395517999936,1,10.48432507532753,1.5295665425199353e-25
5mM / 0mM,ASC399,3.850429566949978,0.40451651403929295,Inf,2.994206272720065,4.951498493981243,1,12.832826644585325,3.2212203151704944e-37
0.2mM / 0mM,ASC399cse,1.3954513048241257,0.1467974775837071,Inf,1.0847809375271413,1.7950945456087843,1,3.1675566340375654,0.0015372576481184348
1mM / 0mM,ASC399cse,3.006979508768856,0.31575635415014575,Inf,2.338593070486778,3.866395517999936,1,10.48432507532753,1.5295665425199353e-25
5mM / 0mM,ASC399cse,3.850429566949978,0.40451651403929295,Inf,2.994206272720065,4.951498493981243,1,12.832826644585325,3.2212203151704944e-37
