contrast,sample,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
CC / CX,ASC399,1.357313792875349,0.08444484480351182,Inf,1.1518499007340512,1.5994277823487277,1,4.910538618297562,1.816531316757563e-6
CC / XC,ASC399,0.6252637130801679,0.060925446291230714,Inf,0.48352487794081267,0.8085513873862238,1,-4.819208779724421,2.1619300052796538e-6
CC / XX,ASC399,1.0632351644609839,0.0717520593054112,Inf,0.8898293444429606,1.270433507285666,1,0.9085962008357263,0.363563312717951
CX / XC,ASC399,0.4606626090165946,0.042172220386183686,Inf,0.3618181398358904,0.5865102270500531,1,-8.466585085176924,1.5161535490538795e-16
CX / XX,ASC399,0.7833377735067544,0.045947502620172484,Inf,0.6710302554707088,0.914441729564166,1,-4.163104679265736,3.7673921797028936e-5
XC / XX,ASC399,1.700458769985684,0.16189530096357113,Inf,1.3227566750272257,2.1860105361870197,1,5.576260025033077,7.372335559940126e-8
CC / CX,ASC399cse,0.37523538576170107,0.05986863642928955,Inf,0.24631735543406563,0.5716267718107362,1,-6.143557051497327,4.8416202001529764e-9
CC / XC,ASC399cse,0.025121466981932867,0.017956326470565883,Inf,0.003811217733662836,0.16558699802171242,1,-5.15407769895597,7.646467556743614e-7
CC / XX,ASC399cse,0.01675382916159017,0.01684803321263171,Inf,0.0011800243509135166,0.23786864343812242,1,-4.0662644975756495,9.554542776894258e-5
CX / XC,ASC399cse,0.06694855532065046,0.04812666044123194,Inf,0.010048124541384772,0.4460642422436075,1,-3.7612741724672287,2.535750089413898e-4
CX / XX,ASC399cse,0.04464885188687919,0.04502957394698142,Inf,0.003120754574261458,0.6387942170326711,1,-3.0826409167540074,0.0024620707653521825
XC / XX,ASC399cse,0.6669128508155744,0.817500619973303,Inf,0.0262768460351433,16.926413085805898,1,-0.33047517635545487,0.7410409463841201
