contrast,line,ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
CX / CC,ASC399,0.9395462233658025,0.032242604922445156,Inf,0.8654436887620234,1.0199936949146522,1,-1.817113384968187,0.12531547021860512
XC / CC,ASC399,1.0222596485183997,0.039802089124143375,Inf,0.9312802335540484,1.122127101313928,1,0.5654370645788546,0.5717765201030139
XX / CC,ASC399,0.9349146315042546,0.0363596365089167,Inf,0.8517995952949329,1.026139684767159,1,-1.7304850678719381,0.12531547021860512
CX / CC,ASC399cse,0.9395462233658025,0.032242604922445156,Inf,0.8654436887620234,1.0199936949146522,1,-1.817113384968187,0.12531547021860512
XC / CC,ASC399cse,1.0222596485183997,0.039802089124143375,Inf,0.9312802335540484,1.122127101313928,1,0.5654370645788546,0.5717765201030139
XX / CC,ASC399cse,0.9349146315042546,0.0363596365089167,Inf,0.8517995952949329,1.026139684767159,1,-1.7304850678719381,0.12531547021860512
