conc,line,estimate,SE,df,lcl,ucl
CC,9,0.4068857975521536,0.0444312056024813,Inf,0.3284905164668903,0.5039903557347876
CX,9,0.27396520938939867,0.029910919152440443,Inf,0.22118878488768415,0.3393342749899806
XC,9,0.42069623604762435,0.046639374796347326,Inf,0.3385340993001919,0.5227991017463159
XX,9,0.30874980101368416,0.034079713000566475,Inf,0.2486859835583217,0.38332051634761166
CC,9C,0.6727116319487204,0.0736346796039498,Inf,0.542821250207661,0.8336831684205199
CX,9C,0.45295162479071843,0.04956724317491184,Inf,0.3655135096513782,0.5613066794610014
XC,9C,0.6955446791430617,0.07704823075541795,Inf,0.5598015239126298,0.86420343643032
XX,9C,0.5104616178625299,0.057408492829429815,Inf,0.4094809164169931,0.6363448279613598
