conc,conc_lab,line,estimate,SE,df,lcl,ucl
0,0,ASC399,1.5374473461430438,0.1581587113650699,Inf,1.256713603966358,1.8808934149371754
0.03,0.03,ASC399,2.059792375388065,0.2105102633561771,Inf,1.6858963185849989,2.516610649739015
0.06,0.06,ASC399,1.7058053881086366,0.1751381704137843,Inf,1.3948742495911577,2.0860461241960127
0.12,0.12,ASC399,2.796528696442632,0.2850081682545103,Inf,2.290177224161993,3.4148329952450642
0,0,ASC399cse,1.4094027418376376,0.145370703724565,Inf,1.1514344592819037,1.7251664414649237
0.03,0.03,ASC399cse,1.8882448421866787,0.19292516345177424,Inf,1.545573306004611,2.3068906341696076
0.06,0.06,ASC399cse,1.5637392702085062,0.16044874157679495,Inf,1.2788691617471521,1.912064641430218
0.12,0.12,ASC399cse,2.5636228923752484,0.26205910022343093,Inf,2.0981786835426495,3.1323177505615156
