contrast,line,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
0.2mM / 0mM,ASC399,7.382104717355813,NA,Inf,NA,NA,1,NA,NA
1mM / 0mM,ASC399,46.03189204553957,NA,Inf,NA,NA,1,NA,NA
5mM / 0mM,ASC399,8.229763272722103,NA,Inf,NA,NA,1,NA,NA
0.2mM / 0mM,ASC399cse,4.714441579361417,NA,Inf,NA,NA,1,NA,NA
1mM / 0mM,ASC399cse,8.783068713665095,NA,Inf,NA,NA,1,NA,NA
5mM / 0mM,ASC399cse,2.3621967654986533,NA,Inf,NA,NA,1,NA,NA
