conc,conc_lab,line,estimate,SE,df,lcl,ucl
CC,CTL-CTL,ASC399,1.7545742419774077,0.04696410359765871,Inf,1.664899111631146,1.849079472205662
CX,CTL-CSE,ASC399,1.648503602664789,0.04504420877789985,Inf,1.5625409697412984,1.739195439111412
XC,CSE-CTL,ASC399,1.7936304479032625,0.05909214111468859,Inf,1.6814720973138253,1.9132700380726124
XX,CSE-CSE,ASC399,1.640377130885165,0.05219685523264344,Inf,1.5411980270641605,1.7459386037865887
CC,CTL-CTL,ASC399cse,1.8727087281162065,0.05424057439672071,Inf,1.769360339207657,1.982093699428754
CX,CTL-CSE,ASC399cse,1.759496412965757,0.04984652641255056,Inf,1.6644618653373175,1.8599570778462806
XC,CSE-CTL,ASC399cse,1.9143945661814126,0.06464275047409576,Inf,1.7917986374272377,2.04537858131603
XX,CSE-CSE,ASC399cse,1.7508227904615643,0.06149561201355194,Inf,1.6343487230546618,1.8755975394714433
