P676_A_fluo,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,P676_A_abs,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,22.9,19689.871,21122.162,20138.814,20353.463,20229.223,20168.037,21479.299,21005.523,21303.512,21921.363,22252.658,21659.477,,,23,0.969,1.0098,0.9743,0.9712,0.9826,0.9796,1.0204,0.9967,1.0164,1.0579,1.0741,1.0788,,0.2123,0.2236,0.2315,0.2263,0.2385,0.2399,0.2341,0.2304,0.236,0.2396,0.2429,0.2514
,,21271.654,20844.912,21300.543,5653.174,5695.187,5634.25,20114.598,20451.654,20862.721,20976.662,21247.842,20645.072,,,,0.9938,0.9491,0.9621,0.7525,0.7599,0.7521,0.94,0.949,0.9433,0.9437,0.961,0.9685,,0.2092,0.2159,0.2231,0.5367,0.5395,0.5328,0.251,0.2501,0.2368,0.2387,0.2305,0.2345
,,21126.262,21712.104,20836.273,3482.403,3728.797,3517.844,20798.389,21505.314,21118.229,22327.416,22469.66,22857.158,,,,0.9853,0.9654,0.9654,0.7637,0.7805,0.7807,1.0268,1.0393,1.0102,1.0377,1.0485,1.0645,,0.2135,0.2195,0.2486,0.6201,0.6352,0.6365,0.2964,0.2829,0.2809,0.2655,0.2637,0.2499
,,21346.205,21018.711,20314.145,6683.325,6871.211,6689.877,14961.379,18759.869,19649.271,22323.908,21994.395,21979.027,,,,1.0025,0.9926,0.998,0.7891,0.7977,0.7978,0.9836,1.0093,1.0239,1.0158,1.0117,1.0432,,0.2262,0.2524,0.2776,0.5576,0.567,0.5642,0.3803,0.3423,0.3245,0.2673,0.2616,0.2463
,,19609.781,18947.467,19607.959,7157.712,7449.513,7383.67,5001.666,6818.19,7682.646,21521.291,21957.426,22041.289,,,,0.9692,0.9367,0.9609,0.7423,0.764,0.7587,0.8284,0.8525,0.8482,1.0216,1.0069,1.0396,,0.2577,0.2825,0.2853,0.541,0.5524,0.537,0.6103,0.5709,0.5379,0.2709,0.263,0.2515
,,6495.682,5175.596,2874.241,6287.708,6467.762,6393.481,3650.003,2551.377,2535.813,18609.248,19340.746,19496.1,,,,0.7646,0.7328,0.7087,0.6537,0.6571,0.6499,0.7582,0.75,0.7572,1.0093,1.0132,1.042,,0.5223,0.5407,0.6123,0.5412,0.5456,0.538,0.607,0.6336,0.631,0.3107,0.3038,0.289
,,3232.435,2615.784,6004.875,5810.314,5705.542,5725.5,6583.845,2470.803,2415.132,2059.99,2102.788,2174.567,,,,0.6341,0.6247,0.6583,0.506,0.513,0.5132,0.7557,0.7056,0.7035,0.7046,0.7091,0.7219,,0.5394,0.5657,0.5024,0.4862,0.4863,0.4816,0.4815,0.5527,0.5498,0.5683,0.5711,0.5664
,,3276.276,3197.797,4001.502,4688.523,4773.027,4733.421,6665.375,4608.334,2567.69,1815.35,1823.803,1888.198,,,,0.55,0.5794,0.557,0.4462,0.4461,0.4334,0.7648,0.7152,0.7073,0.7424,0.7474,0.7331,,0.5399,0.5853,0.5462,0.5177,0.5166,0.5,0.4937,0.5136,0.5526,0.5944,0.5869,0.5776
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
