A1_Fluo	1	2	3	4	5	6	7	8	9	10	11	12		A1_Abs	1	2	3	4	5	6	7	8	9	10	11	12		A1_Abs_Background	1	2	3	4	5	6	7	8	9	10	11	12
1	20253.062	23399.598	23964.068	20532.426	20212.533	19739.707	21118.598	20598.707	20695.273	14552.75	15989.804	15481.132			1.1335	1.305	1.3057	1.1871	1.1061	1.0656	1.0313	0.9774	1.041	0.972	1.0216	1.0126			0.3053	0.3643	0.3574	0.3796	0.3578	0.3409	0.3245	0.3132	0.344	0.3863	0.3846	0.355
2	21152.639	22846.322	24262.039	20977.779	19718.318	18327.023	19350.777	19957.43	19741.773	14875.089	15218.615	15289.451			1.1639	1.2798	1.3804	1.1857	1.1053	1.0257	0.975	0.9576	0.954	0.9419	0.9625	0.9737			0.3277	0.413	0.4304	0.4205	0.4037	0.37	0.3447	0.3191	0.337	0.3722	0.3855	0.3537
3	21990.131	22667.297	23052.18	19119.062	20783.443	19341.438	18548.287	19653.404	19098.23	15922.281	15614.131	15905.122			1.2071	1.293	1.2217	1.1087	1.146	1.0894	0.9519	0.9571	0.9337	0.9984	0.9643	0.9524			0.3551	0.409	0.3733	0.4247	0.4153	0.412	0.3654	0.3321	0.3427	0.39	0.3634	0.3309
4	21797.02	22110.193	21383.137	18837.928	19579.318	19370.77	19218.613	19264.334	19092.139	15644.361	15712.742	19052.443			1.1717	1.2504	1.0963	1.052	1.0714	1.0424	0.9499	0.9339	0.9158	0.9592	0.9511	1.0498			0.3463	0.417	0.3473	0.3664	0.3939	0.3838	0.3324	0.3344	0.3321	0.3672	0.3625	0.3749
5	19357.6	19880.262	20351.457	21054.17	19658.254	16300.046	19718.574	16058.769	15900.979	15644.912	16260.233	15709.358			1.0584	1.1492	1.0711	1.1168	1.0672	0.9646	0.9735	0.9075	0.9169	0.9197	0.9681	0.8979			0.3491	0.4064	0.3602	0.3852	0.3959	0.3673	0.3596	0.3438	0.3547	0.3679	0.3659	0.315
6	14142.254	18620.576	19064.604	14547.352	14033.212	13891.114	14175.72	13754.767	13844.179	10781.759	11127.234	12058.706			0.9738	1.1087	1.0636	0.9606	0.9311	0.9056	0.8947	0.8504	0.8905	0.8385	0.8472	0.8742			0.383	0.4395	0.4157	0.4213	0.4208	0.4027	0.3861	0.3712	0.3931	0.446	0.4259	0.4013
7	1566.235	1520.387	1536.107	1778.001	1742.494	1787.781	1724.798	1872.41	1924.279	2013.556	2010.29	2246.639			0.7217	0.825	0.7969	0.7425	0.7427	0.7291	0.702	0.6849	0.6931	0.6981	0.7151	0.6905			0.6524	0.8139	0.7691	0.692	0.694	0.6725	0.6285	0.5997	0.6152	0.6148	0.6447	0.5968
8	3376.319	3176.475	3156.368	3503.135	3464.707	3539.501	3610.723	3681.555	3650.234	3759.755	3773.051	4080.06			0.7532	0.7855	0.7846	0.6951	0.7137	0.6828	0.6777	0.6607	0.6737	0.7044	0.6735	0.6501			0.6847	0.7378	0.7383	0.6133	0.6331	0.5838	0.5841	0.5519	0.5701	0.6173	0.5693	0.5344
																																								
