ID	A1	A2	A3	A4
Experiment	Resazurin_Exp36	Resazurin_Exp36	Resazurin_Exp36	Resazurin_Exp36
Compound	CSE	CSE_SFN	CSE_NAC	CSE_Erastin
mg/mmol	n/a	n/a	n/a	n/a
Total Volume mL	6	6	6	6
mg	n/a	n/a	n/a	n/a
mL	10	10	10	10
Stock Concentration	100	100	100	100
Working Concentration	100	100	100	100
Factor	1	1	1	1
Unit	%	%	%	%
1	0	0	0	0
2	0.8	0.8	0.8	0.8
3	1.6	1.6	1.6	1.6
4	3.1	3.1	3.1	3.1
5	6.25	6.25	6.25	6.25
6	12.5	12.5	12.5	12.5
7	25	25	25	25
8	50	50	50	50
