	12183.333	12254.987	12374.423	1640.748	1698.624	1718.135	6124.358	5450.984	5752.065	5870.437	5297.519	5491.558			0.8539	0.8458	0.8495	0.7052	0.6979	0.6941	0.974	0.9481	1.0414	0.9848	0.9862	0.9542			0.3372	0.345	0.3527	0.5826	0.5777	0.5705	0.69	0.6865	0.7596	0.7259	0.7332	0.6799
	13502.162	13681.622	12752.44	1850.484	1930.213	1956.475	3249.515	3281.225	3267.886	3434.759	3474.488	3492.136			0.8723	0.867	0.8421	0.673	0.68	0.6771	1.1562	1.1425	1.1463	1.1279	1.1727	1.2587			0.3061	0.3127	0.3239	0.5568	0.5654	0.5626	1.005	0.9109	0.8819	0.9068	0.9325	0.9947
																																								
P679_A_Fluo	1	2	3	4	5	6	7	8	9	10	11	12		P679_A_Abs	1	2	3	4	5	6	7	8	9	10	11	12		P679_A_Abs_Background	1	2	3	4	5	6	7	8	9	10	11	12
	10499.987	9612.187	10014.116	10410.494	9236.689	9958.068	10916.357	10840.696	10892.076	11408.58	11684.967	12116.891			0.8876	0.7925	0.8271	0.8878	0.7953	0.8362	0.8883	0.858	0.864	0.9257	0.933	0.9557			0.397	0.3596	0.3675	0.4123	0.3626	0.3721	0.4151	0.3874	0.388	0.419	0.4107	0.3976
	10360.702	10166.345	11008.095	11404.278	11836.276	12078.362	9211.626	9185.249	8942.426	10373.008	10654.407	11049.077			0.8443	0.8358	0.8483	0.8479	0.8559	0.8661	0.8428	0.8181	0.8195	0.8058	0.8437	0.8637			0.3758	0.3994	0.3923	0.3698	0.3697	0.3681	0.4386	0.4244	0.4395	0.3829	0.4097	0.3958
	10526.279	11297.197	11359.906	11584.782	11848.215	11566.279	8977.702	8629.108	9240.704	9879.302	10418.216	11318.797			0.8427	0.9355	0.9024	0.8747	0.8855	0.8506	0.8122	0.8001	0.8363	0.8025	0.8392	0.9037			0.3759	0.4711	0.4402	0.3961	0.4078	0.3713	0.4341	0.4371	0.4548	0.4028	0.4156	0.421
	10839.608	10238.798	11063.924	10058.263	9028.8	9095.187	8776.14	8673.022	8887.098	10212.521	11065.023	10954.629			0.8361	0.8212	0.8759	0.8337	0.8112	0.7943	0.8091	0.8279	0.8027	0.8203	0.8756	0.8821			0.36	0.4	0.4129	0.4301	0.4449	0.4249	0.4407	0.4662	0.4291	0.4065	0.4263	0.4161
	11174.197	10159.777	10253.703	3643.727	2760.304	2468.968	10098.062	10426.216	10429.695	11481.154	11325.129	12939.21			0.9566	0.8697	0.865	0.7656	0.7364	0.754	0.8438	0.8707	0.864	0.9033	0.8783	1.0426			0.4315	0.4225	0.4222	0.571	0.5809	0.6129	0.4203	0.4317	0.4338	0.4316	0.4083	0.4819
	9993.438	9836.456	9167.566	2472.594	2159.034	2073.063	9517.167	9549.355	9164.43	9724.137	10343.265	11294.062			0.8565	0.8309	0.8184	0.7236	0.7206	0.7186	0.857	0.8626	0.8452	0.8321	0.8628	0.9132			0.3932	0.4086	0.4193	0.5648	0.5801	0.5825	0.4341	0.4455	0.4495	0.4239	0.429	0.4213
	9407.712	8969.034	8403.538	2046.618	1804.198	1783.458	6465.854	6267.964	6824.198	6498.415	6785.33	7306.255			0.859	0.8312	0.8075	0.7128	0.7039	0.7541	0.9424	0.9578	0.9773	1.0168	1.0113	1.0617			0.4134	0.4304	0.4311	0.5785	0.5858	0.6461	0.6309	0.6533	0.6583	0.7279	0.7198	0.7266
	11397.337	10743.22	9774.646	1846.378	1877.806	1821.976	3069.558	3128.961	3198.723	3341.924	3450.397	3591.179			0.8862	0.8736	0.8212	0.6775	0.6831	0.6757	1.1312	1.1223	1.1301	1.1296	1.2058	1.2515			0.3524	0.4043	0.3891	0.5513	0.5645	0.5493	0.8972	0.9118	0.9258	0.9385	1.0254	1.0599
																																								
P679cse_A_Fluo	1	2	3	4	5	6	7	8	9	10	11	12		P679cse_A_Abs	1	2	3	4	5	6	7	8	9	10	11	12		P679cse_A_Abs_Background	1	2	3	4	5	6	7	8	9	10	11	12
	11396.17	11602.921	11310.404	10873.685	11031.937	10666.222	11345.299	10999.454	11048.461	11355.096	11760.948	13327.079			0.9474	0.9416	0.9384	0.8902	0.8866	0.8952	0.922	0.9034	0.9383	0.9254	0.9545	1.0366			0.4148	0.4156	0.4256	0.394	0.3907	0.4076	0.4117	0.4014	0.4347	0.4096	0.4275	0.4291
	11352.493	10863.785	11567.75	14420.806	14370.837	13982.676	9506.204	9626.208	9633.818	11729.577	10828.353	12021.6			0.942	0.9107	0.9069	0.948	0.9354	0.9174	0.8423	0.8392	0.8471	0.9115	0.8541	0.9068			0.4119	0.427	0.4141	0.347	0.3454	0.3317	0.4209	0.4264	0.4103	0.4013	0.3813	0.3748
