experiment,plate_label,plate_key,sample_name,compound_name,unit,model,model_type,ic50,ic50_l,ic50_u,ic50_flag,logIC50,logIC50_l,logIC50_u
Resazurin_Exp34,A1,A1,ASC397,A1,µM,,drc,0.5824328965050852,0.5176060701283931,0.6202066802620584,ok,-0.23475410353162998,-0.2860006392021698,-0.2074635602764978
Resazurin_Exp34,A1,A1,ASC397cse,A1,µM,,drc,0.5719468429274908,0.5524930166023642,0.5818262017484855,ok,-0.24264433291333345,-0.2576732070007257,-0.23520672478962207
Resazurin_Exp34,A1,A1,ASC399,A1,µM,,drc,0.5531527556817557,0.5380152312861651,0.5688832905766952,ok,-0.25715491971041365,-0.26920542922227425,-0.24497682228234396
Resazurin_Exp34,A1,A1,ASC399cse,A1,µM,,drc,0.49469656445938404,0.4750413304888439,0.5162635701484044,ok,-0.3056611056890081,-0.3232686033806637,-0.2871285196200665
Resazurin_Exp34,B1,B1,ASC397,B1,µM,,drc,0.06667312647028166,0.04444526893220061,0.09024404473294353,ok,-1.176049179238391,-1.3521744616002251,-1.0445814478705724
Resazurin_Exp34,B1,B1,ASC397cse,B1,µM,,drc,0.06294920064366064,0.05499062068331364,0.07270286307497875,ok,-1.2010097803813993,-1.2597113783756433,-1.138448486071072
Resazurin_Exp34,B1,B1,ASC399,B1,µM,,drc,0.03815723286746086,0.02851108341005151,0.048557888821118854,ok,-1.4184231275205208,-1.5449862793560214,-1.3137402035899202
Resazurin_Exp34,B1,B1,ASC399cse,B1,µM,,drc,0.09629288746718342,0.08916279718240441,0.10385738378696732,ok,-1.0164057902153572,-1.0498163154516948,-0.9835626216715828
