sample_id,unit,IC50_RSL3,SE_RSL3,IC50_RSL3_CSE,SE_RSL3_CSE,ratio,ratio_lwr,ratio_upr,p_value
ASC390,mM,7.2597194887759e-4,2.9730350233886355e-5,1.2596804039286642e-4,3.070071687280834e-5,0.17351640182189254,0.10689932449248564,0.28164763289344136,1.3690108745253633e-12
ASC390cse,mM,0.0010965618370663511,9.921756806906399e-5,8.782712837632236e-5,8.013464954778657e-6,0.08009318344625928,0.06226097272896678,0.10303273067193207,6.165751594357813e-86
ASC397,mM,0.001287419797211176,1.454886740914294e-4,6.200084727761092e-5,6.846154646913453e-6,0.048158997874599915,0.035333496112119014,0.06563995447623501,3.8476977115356204e-82
ASC397cse,mM,8.453280974439802e-4,4.352876773725368e-5,1.7765629657066242e-4,2.0759157265268325e-5,0.21016253583412403,0.1636291946070877,0.2699291625451556,2.5593487709463225e-34
P676,mM,0.12986800246508695,NA,1.3440013367960104e-4,9.462688866477118e-6,NA,NA,NA,NA
P676cse,mM,NA,NA,9.907252198459661e-5,6.155910769850259e-6,NA,NA,NA,NA
P679,mM,0.02352919134057082,10,1.6525878839254447e-5,5.73214377560657e-7,7.023564303614327e-4,0,Inf,0.9863690372530604
P679cse,mM,NA,NA,3.097553090460156e-5,2.2419128003536887e-6,NA,NA,NA,NA
