Compound,unit,n,median_ratio,CI_low,CI_high
CSE,%,4,1.1271300511691016,1.0130373726913842,1.4702465317170033
Erastin,mM,4,1.1327593728900376,0.7674837295455773,1.413433926922676
Erastin_CSE,mM,4,1.0664782123456915,0.6989224519114943,1.4877112761130065
H2O2,mM,1,905931.8557244248,NA,NA
KBrO3,mM,3,1.7482146982904276,1.0139027060293275,1.8193378187344675
Menadione,mM,3,1.224297748306896,1.1338771957892304,1.822432310517417
RSL3,mM,2,1.0835402649698653,0.6566064148424157,1.5104741150973149
RSL3_CSE,mM,4,1.3057555648176187,0.6972175490101221,2.8653849805503513
