experiment,plate_label,plate_key,sample_name,compound_name,unit,dose_idx,dose,y_mean,y_sd,n,y_err
Resazurin_Exp33,P676_A,A1,P676,A1,µM,1,1.5e-4,0.7467247651131619,0.07868575700270464,3,0.1954662563480412
Resazurin_Exp33,P676_A,A1,P676,A1,µM,2,3e-4,0.8425709225344518,0.08854948249517232,3,0.21996910882223325
Resazurin_Exp33,P676_A,A1,P676,A1,µM,3,0.0015999999999999999,0.8659935985499908,0.13001478591611443,3,0.32297463277936556
Resazurin_Exp33,P676_A,A1,P676,A1,µM,4,0.01,0.8434151676562448,0.070317112401225,3,0.1746773906972698
Resazurin_Exp33,P676_A,A1,P676,A1,µM,5,0.04,0.888824006435831,0.09694956513110908,3,0.2408360708799829
Resazurin_Exp33,P676_A,A1,P676,A1,µM,6,0.2,0.6206078987392988,0.10415150850990587,3,0.2587266900251426
Resazurin_Exp33,P676_A,A1,P676,A1,µM,7,1,0.3245962807069256,0.2626216620707396,3,0.6523883746724756
Resazurin_Exp33,P676_A,A1,P676,A1,µM,8,5,0.21273050892931808,0.3250271888737611,3,0.8074122972255072
Resazurin_Exp33,P676_A,A2,P676,A2,µM,1,5e-4,0.9246281143144383,0.019809158357793732,3,0.04920867731462965
Resazurin_Exp33,P676_A,A2,P676,A2,µM,2,0.001,0.9824700070412649,0.021040625133473493,3,0.05226781037286333
Resazurin_Exp33,P676_A,A2,P676,A2,µM,3,0.004,0.9641096565698742,0.023510804559835438,3,0.05840407624067883
Resazurin_Exp33,P676_A,A2,P676,A2,µM,4,0.012,0.9290090143076998,0.01649740391804664,3,0.040981823218797314
Resazurin_Exp33,P676_A,A2,P676,A2,µM,5,0.037,0.8833034590634218,0.010892321393953715,3,0.027058026343225346
Resazurin_Exp33,P676_A,A2,P676,A2,µM,6,0.111,0.563976974718314,0.0481986118380251,3,0.11973198932085405
Resazurin_Exp33,P676_A,A2,P676,A2,µM,7,0.33299999999999996,0.2768443942564625,0.053091593132203165,3,0.1318868286766107
Resazurin_Exp33,P676_A,A2,P676,A2,µM,8,1,0.004751282185581582,0.004285269668113114,3,0.010645199987579608
Resazurin_Exp33,P676_A,A3,P676,A3,NA,1,1.5e-4,0.9846986216785534,0.008928945878236774,3,0.02218073118230564
Resazurin_Exp33,P676_A,A3,P676,A3,NA,2,1.5e-4,0.9064137154340455,0.011678794376727806,3,0.029011733539007236
Resazurin_Exp33,P676_A,A3,P676,A3,NA,3,1.5e-4,0.79914893911601,0.09950340024132132,3,0.24718014898685317
Resazurin_Exp33,P676_A,A3,P676,A3,NA,4,1.5e-4,0.6819157467283796,0.0026048904426030778,3,0.006470906583448314
Resazurin_Exp33,P676_A,A3,P676,A3,NA,5,1.5e-4,0.9586583248328379,0.03593036841738387,3,0.08925598318270629
Resazurin_Exp33,P676_A,A3,P676,A3,NA,6,1.5e-4,0.9008025682645976,0.01078133799680419,3,0.026782328300988048
Resazurin_Exp33,P676_A,A3,P676,A3,NA,7,1.5e-4,0.4540323084983662,0.012178874591992564,3,0.030254001660646644
Resazurin_Exp33,P676_A,A3,P676,A3,NA,8,1.5e-4,0.0018253012057966806,0.0019079247792355143,3,0.004739547895281864
Resazurin_Exp33,P676_A,A4,P676,A4,NA,1,1.5e-4,0.9183071729578381,0.029753836795027987,3,0.0739126280517936
Resazurin_Exp33,P676_A,A4,P676,A4,NA,2,1.5e-4,0.8529965187696147,0.035437088937703226,3,0.08803060902479903
Resazurin_Exp33,P676_A,A4,P676,A4,NA,3,1.5e-4,0.9045304230209443,0.06279158798058652,3,0.15598295168326373
Resazurin_Exp33,P676_A,A4,P676,A4,NA,4,1.5e-4,0.8219181425538883,0.021877080696540995,3,0.05434568118128266
Resazurin_Exp33,P676_A,A4,P676,A4,NA,5,1.5e-4,0.8548480701097838,0.023647434086038244,3,0.058743482799257805
Resazurin_Exp33,P676_A,A4,P676,A4,NA,6,1.5e-4,0.9781251279191583,0.019719602344147647,3,0.04898620784381738
Resazurin_Exp33,P676_A,A4,P676,A4,NA,7,1.5e-4,0.40035161952895326,0.02906328151371878,3,0.07219719363544504
Resazurin_Exp33,P676_A,A4,P676,A4,NA,8,1.5e-4,0.00320800990596335,0.0028923139240634036,3,0.007184906092986481
Resazurin_Exp33,P676cse_A,A1,P676cse,A1,µM,1,1.5e-4,0.1300582372674736,0.1671280817320729,3,0.4151691705231337
Resazurin_Exp33,P676cse_A,A1,P676cse,A1,µM,2,3e-4,0.7209898030065015,0.24191510588765072,3,0.6009504375775875
Resazurin_Exp33,P676cse_A,A1,P676cse,A1,µM,3,0.0015999999999999999,0.6069792310198246,0.0806690649631981,3,0.20039306644671767
Resazurin_Exp33,P676cse_A,A1,P676cse,A1,µM,4,0.01,0.7899705520920971,0.1462920335739621,3,0.36340955752972465
Resazurin_Exp33,P676cse_A,A1,P676cse,A1,µM,5,0.04,0.7241307964534106,0.05021407959311584,3,0.12473868877809174
Resazurin_Exp33,P676cse_A,A1,P676cse,A1,µM,6,0.2,0.4703869686417181,0.21475388846277726,3,0.5334782330754091
Resazurin_Exp33,P676cse_A,A1,P676cse,A1,µM,7,1,0.23850305446778336,0.028171332452484803,3,0.06998146933547342
Resazurin_Exp33,P676cse_A,A1,P676cse,A1,µM,8,5,0.5423380917098102,0.14383810351400816,3,0.35731365732579534
Resazurin_Exp33,P676cse_A,A2,P676cse,A2,µM,1,5e-4,0.6441840058172229,0.028322192041030727,3,0.07035622532855948
Resazurin_Exp33,P676cse_A,A2,P676cse,A2,µM,2,0.001,0.883235247205473,0.10376456788884868,3,0.25776547623616636
Resazurin_Exp33,P676cse_A,A2,P676cse,A2,µM,3,0.004,0.7829229810665582,0.0083808409426377,3,0.020819163041787495
Resazurin_Exp33,P676cse_A,A2,P676cse,A2,µM,4,0.012,0.6967316670979468,0.017649356848691452,3,0.0438434329359734
Resazurin_Exp33,P676cse_A,A2,P676cse,A2,µM,5,0.037,0.0961308239090177,0.05243622694676491,3,0.1302588088203576
Resazurin_Exp33,P676cse_A,A2,P676cse,A2,µM,6,0.111,0.02431641606636799,0.023908298882419684,3,0.05939150687761701
Resazurin_Exp33,P676cse_A,A2,P676cse,A2,µM,7,0.33299999999999996,0.0026072068607764856,0.002327309794608756,3,0.005781358027713525
Resazurin_Exp33,P676cse_A,A2,P676cse,A2,µM,8,1,0.01570781272512705,0.0031918032874855918,3,0.00792887891493164
Resazurin_Exp33,P676cse_A,A3,P676cse,A3,NA,1,1.5e-4,0.9032376730525866,0.00561897883438138,3,0.0139583172240137
Resazurin_Exp33,P676cse_A,A3,P676cse,A3,NA,2,1.5e-4,0.8996540427676468,0.06379298540370623,3,0.15847056078648503
Resazurin_Exp33,P676cse_A,A3,P676cse,A3,NA,3,1.5e-4,0.7851429302180947,0.03132560676491454,3,0.07781712110818546
Resazurin_Exp33,P676cse_A,A3,P676cse,A3,NA,4,1.5e-4,0.8196296475342766,0.016428975600347274,3,0.04081183785424868
Resazurin_Exp33,P676cse_A,A3,P676cse,A3,NA,5,1.5e-4,0.9204507151980926,0.0691171008416196,3,0.17169639672751771
Resazurin_Exp33,P676cse_A,A3,P676cse,A3,NA,6,1.5e-4,0.7367906721280089,0.008825903254557604,3,0.021924759114906517
Resazurin_Exp33,P676cse_A,A3,P676cse,A3,NA,7,1.5e-4,0.22999465986314355,0.03070926125109145,3,0.0762860339738294
Resazurin_Exp33,P676cse_A,A3,P676cse,A3,NA,8,1.5e-4,0.0015198010678392246,0.0014494938423419204,3,0.003600742316711452
Resazurin_Exp33,P676cse_A,A4,P676cse,A4,NA,1,1.5e-4,0.8335117683295202,0.03778903335274361,3,0.09387316284214142
Resazurin_Exp33,P676cse_A,A4,P676cse,A4,NA,2,1.5e-4,0.8999534486802001,0.08896837860620924,3,0.22100970444896564
Resazurin_Exp33,P676cse_A,A4,P676cse,A4,NA,3,1.5e-4,0.7568254351052212,0.03341614261359987,3,0.08301030004767067
Resazurin_Exp33,P676cse_A,A4,P676cse,A4,NA,4,1.5e-4,0.7937699898741299,0.010050323117575435,3,0.024966386671645288
Resazurin_Exp33,P676cse_A,A4,P676cse,A4,NA,5,1.5e-4,0.814711515144975,0.04907041287743362,3,0.12189766315999188
Resazurin_Exp33,P676cse_A,A4,P676cse,A4,NA,6,1.5e-4,0.7829045745384273,0.055479080263809454,3,0.13781767549655252
Resazurin_Exp33,P676cse_A,A4,P676cse,A4,NA,7,1.5e-4,0.16565578699321354,0.022785841833369215,3,0.05660316899225075
Resazurin_Exp33,P676cse_A,A4,P676cse,A4,NA,8,1.5e-4,0.0025311677364294916,0.002298093784762513,3,0.005708781435867605
Resazurin_Exp33,P679_A,A1,P679,A1,µM,1,1.5e-4,0.5473175275516714,0.14849390524519038,3,0.36887930998465757
Resazurin_Exp33,P679_A,A1,P679,A1,µM,2,3e-4,0.7041808752023765,0.14721289015854344,3,0.3656970920985968
Resazurin_Exp33,P679_A,A1,P679,A1,µM,3,0.0015999999999999999,0.887697982841645,0.15507128514381935,3,0.3852184274353504
