file_name,flag,olive_moment,tail_dna_percent,tail_length,condition_code,sample,pre_code,acute_code,pre_label,acute_label,condition_factor
9_CX_2.tif,normal,6.0078428230958725,23.10708778113797,27,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,61.56234655097031,86.70753035347929,117,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,6.259085876342727,19.55964336357102,33,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,41.91208527328272,95.25473925746073,94,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,25.140800976134482,55.86844661363216,76,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,46.76508238014618,93.53016476029238,82,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,69.57947199266503,96.63815554536815,148,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,4.43910127752347,23.36369093433405,19,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,5.710311918063314,20.39397113594041,31,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,29.35055750334803,58.70111500669606,72,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,0.9421651562989213,5.234250868327339,5,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,32.69004407801988,96.14718846476435,104,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,0.8686015149776197,1.9302255888391546,8,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,28.202188604795076,60.00465660594696,74,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,3.6292871350701277,10.674373926676843,20,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,47.965893772981424,77.36434479513133,86,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,1.1426370410866995,9.521975342389158,6,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,0.7022914203049946,8.778642753812429,5,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,26.794785160586553,74.42995877940707,86,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,2.416357521755712,9.665430087022852,10,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_CX_2.tif,normal,7.558476863876248,22.904475345079543,41,CX,ASC399,C,X,Control pre,Acute CSE,CTL-CSE
9_XX_1.tif,normal,25.96851390552349,78.69246638037424,85,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,4.1955994338684715,11.041051141759134,48,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,5.326311083144281,18.36658994187683,38,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,9.481721559325718,36.46815984356046,60,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,9.916681878337062,34.19545475288642,60,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,10.842289003160824,51.62994763409916,46,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,3.304681783905159,11.802434942518426,25,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,3.0015227033295853,13.050098710128635,19,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,20.831490566790315,54.81971201786925,97,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,13.961184543384773,34.05166961801163,36,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,62.78859347890254,93.7143186252277,111,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,54.7682178731606,88.33583527929129,102,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,3.249565508021391,12.498328877005347,24,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,6.715173633411155,29.196407101787624,36,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,18.465963711023484,92.32981855511743,55,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,1.1962907107972842,5.696622432368019,11,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,52.146802014997036,73.4462000211226,116,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,9.41900524868783,36.22694326418396,65,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,56.62221058022286,92.8232960331522,100,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,11.346767218487779,43.64141237879915,62,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,8.999141467137267,33.33015358198988,72,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,64.88177133303839,96.83846467617674,118,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,50.25274198577006,89.73703926030369,104,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_1.tif,normal,60.903640909922544,88.26614624626457,111,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_CC_3.tif,normal,6.936892082638269,26.680354163993336,24,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_3.tif,normal,0.5864667671499603,1.8327086473436263,7,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_3.tif,normal,2.052566076522048,3.5389070284862894,10,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_3.tif,normal,1.0118468397546896,5.325509682919418,6,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_3.tif,normal,3.8732018209408197,17.60546282245827,17,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_3.tif,normal,9.948320475634556,41.451335315144,28,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_3.tif,normal,1.2866659278686912,4.948715107187272,1,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_3.tif,normal,6.275345132347351,26.147271384780627,22,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_3.tif,normal,2.7252414703808,16.03083217871059,12,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_3.tif,normal,12.85271758126529,27.346207619713372,34,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_3.tif,normal,0.7349920003709973,1.3610962969833282,5,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_3.tif,normal,0.4354831744856729,0.9265599457141975,4,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_3.tif,normal,0.6651387479428207,2.6605549917712836,5,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_3.tif,normal,0.37763173650585685,1.4524297557917574,5,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_3.tif,normal,9.475164502666859,20.59818370144969,44,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_XX_2.tif,normal,69.70432367179018,78.31946479976422,141,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,25.790042058411984,50.56870991845489,84,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,20.13002480922319,50.325062023057995,80,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,56.435870279745814,89.58074647578701,102,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,11.795058701390497,49.146077922460414,74,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,41.67533817823225,71.85403134177973,92,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,1.9470627319510798,7.788250927804318,19,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,32.35560816069376,66.03185338917098,83,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,35.4088155614673,75.33790544993047,73,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,2.8760774002565297,9.917508276746657,26,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,0.8032537373154136,4.016268686577068,5,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,67.40964141346223,89.87952188461628,135,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,4.707157520605446,16.231577657260164,26,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,3.417957534295133,10.05281627733863,20,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,24.170286344199777,63.60601669526256,88,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,5.410056417647707,17.451794895637757,30,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,15.995738181217725,38.085090907661254,72,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,8.781959805267757,32.52577705654724,51,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_XX_2.tif,normal,2.5893995913794274,13.628418901996982,15,XX,ASC399,X,X,CSE pre,Acute CSE,CSE-CSE
9_SX_3.tif,normal,8.709413746127183,24.192815961464397,56,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,0.775879426598634,11.083991808551913,5,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,43.764113545595336,85.81198734430457,91,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,57.369438598208596,94.0482599970633,108,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,18.917085605712426,49.78180422555899,74,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,0.8551666584156665,4.072222182931747,6,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,1.1554896446377216,5.777448223188608,8,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,3.4726286042963963,13.890514417185587,21,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,38.800290748879036,65.76320465911705,99,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,14.495166423060562,28.421894947177574,89,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,104.75555841005858,85.16712065858421,187,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,32.74602857090901,52.81617511436936,98,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,27.975938065805085,48.234375975526014,85,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,20.399612687850617,40.79922537570123,69,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,5.540821203287855,25.185550924035706,27,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,7.99029748283753,33.292906178489716,46,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
