comp_base,unit,n,median_ratio,CI_low,CI_high
BSO,mM,6,0.01377547219348426,1.606990493116197e-4,0.7416914077798445
Rotenone,mM,5,1.0350503600239052,0.06869212821087936,1.0918569246889265
