experiment,plate_label,plate_key,sample_name,compound_name,unit,dose_idx,dose,y_mean,y_sd,n,y_err
Resazurin_Exp35,A1,A1,ASC397,A1,µM,1,0.025,0.8460920208432107,0.07455334715040147,3,0.1852007811935263
Resazurin_Exp35,A1,A1,ASC397,A1,µM,2,0.05,0.9410826921047208,0.011049778504919592,3,0.02744917149055894
Resazurin_Exp35,A1,A1,ASC397,A1,µM,3,0.2,0.9304924378861262,0.07615709358133817,3,0.18918470818270117
Resazurin_Exp35,A1,A1,ASC397,A1,µM,4,0.8,0.5883907940065995,0.04324089322810003,3,0.10741633355769276
Resazurin_Exp35,A1,A1,ASC397,A1,µM,5,3.125,0.03569353488546118,0.012332456157847766,3,0.030635519420217215
Resazurin_Exp35,A1,A1,ASC397,A1,µM,6,12.5,0.005937332991568114,0.006090799228497172,3,0.015130384058209639
Resazurin_Exp35,A1,A1,ASC397,A1,µM,7,50,0.022198030605857025,0.006326911447924588,3,0.015716919326694355
Resazurin_Exp35,A1,A1,ASC397,A1,µM,8,200,0.044151218822998564,0.0029627796260270852,3,0.007359952600619422
Resazurin_Exp35,A1,A1,ASC397cse,A1,µM,1,0.025,0.9139743786970158,0.03672269416773125,3,0.0912242294591351
Resazurin_Exp35,A1,A1,ASC397cse,A1,µM,2,0.05,0.961619324431905,0.03576005125929727,3,0.08883289190734524
Resazurin_Exp35,A1,A1,ASC397cse,A1,µM,3,0.2,0.9203585133337008,0.040688051942953773,3,0.10107472424914776
Resazurin_Exp35,A1,A1,ASC397cse,A1,µM,4,0.8,0.7556275919152072,0.11041266456584772,3,0.27428026390286175
Resazurin_Exp35,A1,A1,ASC397cse,A1,µM,5,3.125,0.03413071811796482,0.00823669425386304,3,0.020461082816178422
Resazurin_Exp35,A1,A1,ASC397cse,A1,µM,6,12.5,0.0019266026704106052,0.0017100508467968194,3,0.004248001797538565
Resazurin_Exp35,A1,A1,ASC397cse,A1,µM,7,50,0.017917708842294374,8.382965244206361e-4,3,0.002082444009942534
Resazurin_Exp35,A1,A1,ASC397cse,A1,µM,8,200,0.043511964102439606,0.0019143493380234145,3,0.004755507384048244
Resazurin_Exp35,A1,A1,ASC399,A1,µM,1,0.025,0.9754938903799699,0.03125370041356984,3,0.07763849582909572
Resazurin_Exp35,A1,A1,ASC399,A1,µM,2,0.05,0.7545836207414836,0.013977306877707702,3,0.03472155512362096
Resazurin_Exp35,A1,A1,ASC399,A1,µM,3,0.2,0.76004116805841,0.007502303534945121,3,0.018636755136154988
Resazurin_Exp35,A1,A1,ASC399,A1,µM,4,0.8,0.5432021012779908,0.010903529369315327,3,0.027085868497493497
Resazurin_Exp35,A1,A1,ASC399,A1,µM,5,3.125,0.018963745576893835,0.0035045793330363605,3,0.008705857685016442
Resazurin_Exp35,A1,A1,ASC399,A1,µM,6,12.5,0.0018243087561671026,0.001975267954648047,3,0.004906837616953154
Resazurin_Exp35,A1,A1,ASC399,A1,µM,7,50,0.012734822425721515,0.0020771356824925593,3,0.0051598910813020265
Resazurin_Exp35,A1,A1,ASC399,A1,µM,8,200,0.03562688266223325,0.0034530794398193814,3,0.00857792485812503
Resazurin_Exp35,A1,A1,ASC399cse,A1,µM,1,0.025,0.7692392181984183,0.03643040469374469,3,0.09049814215405742
Resazurin_Exp35,A1,A1,ASC399cse,A1,µM,2,0.05,0.7635480242532526,0.014096937728921484,3,0.03501873463260991
Resazurin_Exp35,A1,A1,ASC399cse,A1,µM,3,0.2,0.8375432597122999,0.14069481449748333,3,0.3495052945409154
Resazurin_Exp35,A1,A1,ASC399cse,A1,µM,4,0.8,0.5701667653974877,0.027166539096622627,3,0.06748542426766001
Resazurin_Exp35,A1,A1,ASC399cse,A1,µM,5,3.125,0.052735958806452564,0.013842566900787206,3,0.03438684246567238
Resazurin_Exp35,A1,A1,ASC399cse,A1,µM,6,12.5,0.011222166899923506,0.01645318286954188,3,0.0408719720445535
Resazurin_Exp35,A1,A1,ASC399cse,A1,µM,7,50,0.022710476971406345,0.013490171793501987,3,0.03351144449022887
Resazurin_Exp35,A1,A1,ASC399cse,A1,µM,8,200,0.039494985880244665,0.005425735532059124,3,0.013478274249171812
Resazurin_Exp35,A2,A2,ASC397,A2,µM,1,0.025,0.9333925015722437,0.012632424975160397,3,0.031380683271652665
Resazurin_Exp35,A2,A2,ASC397,A2,µM,2,0.05,0.9571801750948443,0.032629379778041846,3,0.08105587281765737
Resazurin_Exp35,A2,A2,ASC397,A2,µM,3,0.2,0.9430899683116518,0.06820322266747134,3,0.1694261974911705
Resazurin_Exp35,A2,A2,ASC397,A2,µM,4,0.8,0.48035796350798426,0.02145404212507256,3,0.053294795112372936
Resazurin_Exp35,A2,A2,ASC397,A2,µM,5,3.125,0.029479269472638424,0.030524160940033643,3,0.07582621931067399
Resazurin_Exp35,A2,A2,ASC397,A2,µM,6,12.5,0.004946629016674588,0.005617564854102033,3,0.013954804702278101
Resazurin_Exp35,A2,A2,ASC397,A2,µM,7,50,0.030737931921710197,0.006988726016911677,3,0.01736095785570097
Resazurin_Exp35,A2,A2,ASC397,A2,µM,8,200,0.06140264813580576,0.002525005600210123,3,0.006272461633862743
Resazurin_Exp35,A2,A2,ASC397cse,A2,µM,1,0.025,0.7917920357378609,0.038693826463405655,3,0.09612079352966889
Resazurin_Exp35,A2,A2,ASC397cse,A2,µM,2,0.05,0.9338621861295753,0.05763753423463406,3,0.14317957240455517
Resazurin_Exp35,A2,A2,ASC397cse,A2,µM,3,0.2,0.8742115820553363,0.025296264730860777,3,0.06283940518435108
Resazurin_Exp35,A2,A2,ASC397cse,A2,µM,4,0.8,0.4278195759966841,0.007170966519544026,3,0.017813668360898326
Resazurin_Exp35,A2,A2,ASC397cse,A2,µM,5,3.125,0.026802602559575898,0.007588387328461758,3,0.018850599134000192
Resazurin_Exp35,A2,A2,ASC397cse,A2,µM,6,12.5,0.0013173474974798273,0.0012030926939574811,3,0.002988647931791077
Resazurin_Exp35,A2,A2,ASC397cse,A2,µM,7,50,0.021148048080318085,0.0019420711340793213,3,0.004824372143068173
Resazurin_Exp35,A2,A2,ASC397cse,A2,µM,8,200,0.056364629547187385,0.001064152351166677,3,0.002643500986580923
Resazurin_Exp35,A2,A2,ASC399,A2,µM,1,0.025,0.9716265099113444,0.026075417389138125,3,0.06477492768598835
Resazurin_Exp35,A2,A2,ASC399,A2,µM,2,0.05,0.9717394969420526,0.019427763280772902,3,0.04826123942072628
Resazurin_Exp35,A2,A2,ASC399,A2,µM,3,0.2,0.9163984443027922,0.02280430030867299,3,0.05664902238685427
Resazurin_Exp35,A2,A2,ASC399,A2,µM,4,0.8,0.49985324931556746,0.0133572353903768,3,0.03318121215796115
Resazurin_Exp35,A2,A2,ASC399,A2,µM,5,3.125,0.035084134976441174,0.0018744563134732752,3,0.004656407617327461
Resazurin_Exp35,A2,A2,ASC399,A2,µM,6,12.5,0.003292343607930562,0.002860741015891319,3,0.007106474641126576
Resazurin_Exp35,A2,A2,ASC399,A2,µM,7,50,0.019880494159937555,0.004471484797363628,3,0.011107784012649271
Resazurin_Exp35,A2,A2,ASC399,A2,µM,8,200,0.0522805311275146,0.00254540215956659,3,0.006323129496150098
Resazurin_Exp35,A2,A2,ASC399cse,A2,µM,1,0.025,0.9629466907319194,0.05597964244995424,3,0.13906114090023095
Resazurin_Exp35,A2,A2,ASC399cse,A2,µM,2,0.05,0.9599395735512276,0.05251266722004564,3,0.13044869698591074
Resazurin_Exp35,A2,A2,ASC399cse,A2,µM,3,0.2,0.906575270090459,0.022085153799438973,3,0.05486256342299244
Resazurin_Exp35,A2,A2,ASC399cse,A2,µM,4,0.8,0.5546918954179595,0.033765190012159725,3,0.08387738185362156
Resazurin_Exp35,A2,A2,ASC399cse,A2,µM,5,3.125,0.052615156002782215,0.02677984958870883,3,0.06652483427831317
Resazurin_Exp35,A2,A2,ASC399cse,A2,µM,6,12.5,0.01678605746205397,0.025987234238166818,3,0.06455586859511955
Resazurin_Exp35,A2,A2,ASC399cse,A2,µM,7,50,0.041879152539364424,0.02057327876982858,3,0.05110685764648361
Resazurin_Exp35,A2,A2,ASC399cse,A2,µM,8,200,0.05389560142849993,0.007533337138140471,3,0.01871384688018405
Resazurin_Exp35,A3,A3,ASC397,A3,µM,1,0.025,0.8918287275031552,0.06959559400316706,3,0.1728850396349324
Resazurin_Exp35,A3,A3,ASC397,A3,µM,2,0.05,0.9947253327065756,0.004662184036117308,3,0.011581507183239368
Resazurin_Exp35,A3,A3,ASC397,A3,µM,3,0.2,0.9419361989347592,0.02130309659540402,3,0.05291982562970318
Resazurin_Exp35,A3,A3,ASC397,A3,µM,4,0.8,0.6246232817402587,0.07989301936775761,3,0.1984652623170462
Resazurin_Exp35,A3,A3,ASC397,A3,µM,5,3.125,0.052759984696209156,0.022828388191528336,3,0.05670886000505146
Resazurin_Exp35,A3,A3,ASC397,A3,µM,6,12.5,0.00437251918807618,0.004920921661325316,3,0.012224247075467301
Resazurin_Exp35,A3,A3,ASC397,A3,µM,7,50,0.023460980765898275,0.0077635837965846265,3,0.019285811287429674
Resazurin_Exp35,A3,A3,ASC397,A3,µM,8,200,0.05093232713249888,0.0068540211626008825,3,0.017026332447151692
Resazurin_Exp35,A3,A3,ASC397cse,A3,µM,1,0.025,0.8964473446848945,0.029909494868991863,3,0.0742993041434657
Resazurin_Exp35,A3,A3,ASC397cse,A3,µM,2,0.05,0.9502271391737214,0.020980145317714784,3,0.0521175701817374
Resazurin_Exp35,A3,A3,ASC397cse,A3,µM,3,0.2,0.9589872204537961,0.035519561700027555,3,0.08823548272388111
Resazurin_Exp35,A3,A3,ASC397cse,A3,µM,4,0.8,0.7189182512106695,0.0293245740772893,3,0.07284628034641048
Resazurin_Exp35,A3,A3,ASC397cse,A3,µM,5,3.125,0.0332304637575671,0.00205038711698896,3,0.005093443960999312
Resazurin_Exp35,A3,A3,ASC397cse,A3,µM,6,12.5,0.0028245412319130563,0.0037356704456990176,3,0.009279919832832093
Resazurin_Exp35,A3,A3,ASC397cse,A3,µM,7,50,0.01880791320455978,0.001902668489771698,3,0.004726490548400922
Resazurin_Exp35,A3,A3,ASC397cse,A3,µM,8,200,0.052674904637228424,0.003550373879651138,3,0.00881961764525472
Resazurin_Exp35,A3,A3,ASC399,A3,µM,1,0.025,0.9436038764848922,0.017248989904994173,3,0.04284886631259677
Resazurin_Exp35,A3,A3,ASC399,A3,µM,2,0.05,0.9783355347890538,0.018779741180142296,3,0.04665146328250212
Resazurin_Exp35,A3,A3,ASC399,A3,µM,3,0.2,0.9748014995536556,0.017811295422611593,3,0.04424571065443549
Resazurin_Exp35,A3,A3,ASC399,A3,µM,4,0.8,0.6414306889514876,0.02006343997007946,3,0.049840347857113304
Resazurin_Exp35,A3,A3,ASC399,A3,µM,5,3.125,0.032318491622717674,0.008881589402886563,3,0.022063091175992606
Resazurin_Exp35,A3,A3,ASC399,A3,µM,6,12.5,0.0030511036833122704,0.0028232977297633632,3,0.0070134603620042625
Resazurin_Exp35,A3,A3,ASC399,A3,µM,7,50,0.019243776369843136,0.004566127083569629,3,0.011342888484939867
Resazurin_Exp35,A3,A3,ASC399,A3,µM,8,200,0.05001688702588584,0.001019949685703659,3,0.0025336954783443557
Resazurin_Exp35,A3,A3,ASC399cse,A3,µM,1,0.025,0.8782746253415197,0.0052639148379984724,3,0.013076289360514136
Resazurin_Exp35,A3,A3,ASC399cse,A3,µM,2,0.05,0.9747380765459104,0.017550442851308762,3,0.04359771694485509
Resazurin_Exp35,A3,A3,ASC399cse,A3,µM,3,0.2,0.9820897886497466,0.016297730314106886,3,0.04048580648920947
Resazurin_Exp35,A3,A3,ASC399cse,A3,µM,4,0.8,0.6764813844474786,0.11018970995092875,3,0.2737264139359327
Resazurin_Exp35,A3,A3,ASC399cse,A3,µM,5,3.125,0.05186269988779326,0.020350648809295872,3,0.05055381416575883
Resazurin_Exp35,A3,A3,ASC399cse,A3,µM,6,12.5,0.017433635113973965,0.02631028287980485,3,0.0653583659085423
Resazurin_Exp35,A3,A3,ASC399cse,A3,µM,7,50,0.03303272513326548,0.019965669028233216,3,0.049597471373359694
Resazurin_Exp35,A3,A3,ASC399cse,A3,µM,8,200,0.05278348280560301,0.005174131069570988,3,0.012853254115460363
Resazurin_Exp35,A4,A4,ASC397,A4,µM,1,0.025,0.9805506405853921,0.017636160197981986,3,0.04381065063827722
Resazurin_Exp35,A4,A4,ASC397,A4,µM,2,0.05,0.8615607555583297,0.08013866882028178,3,0.1990754893859323
Resazurin_Exp35,A4,A4,ASC397,A4,µM,3,0.2,0.9074386751723118,0.05248002551145918,3,0.13036761048663517
Resazurin_Exp35,A4,A4,ASC397,A4,µM,4,0.8,0.6298661111585011,0.0707803076525776,3,0.1758280314890585
Resazurin_Exp35,A4,A4,ASC397,A4,µM,5,3.125,0.004344636209159101,0.004323766358022265,3,0.010740831066760489
Resazurin_Exp35,A4,A4,ASC397,A4,µM,6,12.5,0.01078433497484707,3.4336968185339357e-4,3,8.529775757637279e-4
Resazurin_Exp35,A4,A4,ASC397,A4,µM,7,50,0.030598406312462,0.005025540553429086,3,0.012484134810703816
Resazurin_Exp35,A4,A4,ASC397,A4,µM,8,200,0.06740987651174286,0.007986492829841188,3,0.01983954802323211
Resazurin_Exp35,A4,A4,ASC397cse,A4,µM,1,0.025,0.9597444065018963,0.03676169560060754,3,0.09132111438935538
Resazurin_Exp35,A4,A4,ASC397cse,A4,µM,2,0.05,0.8134499756866388,0.014407060660604005,3,0.03578912270248103
Resazurin_Exp35,A4,A4,ASC397cse,A4,µM,3,0.2,0.9079149322504317,0.036449232877928624,3,0.09054491395643251
Resazurin_Exp35,A4,A4,ASC397cse,A4,µM,4,0.8,0.6138865387014911,0.047360584512607135,3,0.11765021403830601
Resazurin_Exp35,A4,A4,ASC397cse,A4,µM,5,3.125,0.003613705020511439,0.005451242128149531,3,0.013541636146418377
Resazurin_Exp35,A4,A4,ASC397cse,A4,µM,6,12.5,0.011244750323678627,0.0016125862316151889,3,0.004005886271404643
Resazurin_Exp35,A4,A4,ASC397cse,A4,µM,7,50,0.04059016653153933,0.0031830076255342666,3,0.007907029279378544
Resazurin_Exp35,A4,A4,ASC397cse,A4,µM,8,200,0.08417575094233352,5.675060143936594e-4,3,0.001409763092000415
Resazurin_Exp35,A4,A4,ASC399,A4,µM,1,0.025,0.9382603377874238,0.05420634699707404,3,0.1346560307916559
Resazurin_Exp35,A4,A4,ASC399,A4,µM,2,0.05,0.6694617770891023,0.016536269828559023,3,0.041078371492802634
Resazurin_Exp35,A4,A4,ASC399,A4,µM,3,0.2,0.783688027704261,0.016632283627649628,3,0.04131688299197203
Resazurin_Exp35,A4,A4,ASC399,A4,µM,4,0.8,0.490325599057021,0.012363292229734531,3,0.030712120469273376
Resazurin_Exp35,A4,A4,ASC399,A4,µM,5,3.125,0.005631786591464188,0.008082138465967195,3,0.02007714495489707
Resazurin_Exp35,A4,A4,ASC399,A4,µM,6,12.5,0.006730922420811755,0.005858521521254925,3,0.014553374246050273
Resazurin_Exp35,A4,A4,ASC399,A4,µM,7,50,0.038354624350539636,0.0042998417112722525,3,0.010681398949528477
Resazurin_Exp35,A4,A4,ASC399,A4,µM,8,200,0.07608898712532003,0.008228383061445901,3,0.020440436669665395
Resazurin_Exp35,A4,A4,ASC399cse,A4,µM,1,0.025,0.9098016526667014,0.08397539775513684,3,0.20860645242276943
Resazurin_Exp35,A4,A4,ASC399cse,A4,µM,2,0.05,0.6591487660900223,0.12671024063814648,3,0.3147656872341789
Resazurin_Exp35,A4,A4,ASC399cse,A4,µM,3,0.2,0.7131397189075307,0.05812980836637859,3,0.14440244913974093
Resazurin_Exp35,A4,A4,ASC399cse,A4,µM,4,0.8,0.5065404185331217,0.09584469137768509,3,0.2380914123223792
Resazurin_Exp35,A4,A4,ASC399cse,A4,µM,5,3.125,0.023692332441410092,0.030054841550281687,3,0.0746603653157355
Resazurin_Exp35,A4,A4,ASC399cse,A4,µM,6,12.5,0.024126337574316592,0.027749299709283585,3,0.06893308188249382
Resazurin_Exp35,A4,A4,ASC399cse,A4,µM,7,50,0.046398611432021286,0.018701592144121208,3,0.0464573303149852
Resazurin_Exp35,A4,A4,ASC399cse,A4,µM,8,200,0.08032744018027287,0.017475061641206255,3,0.04341045963808207
