experiment,plate_label,plate_key,sample_name,compound_name,unit,model,model_type,ic50,ic50_l,ic50_u,ic50_flag,logIC50,logIC50_l,logIC50_u
Resazurin_Exp35,A1,A1,ASC397,A1,µM,,spline,0.9996945344143459,0.9250246722791665,1.255051904580859,ok,-1.3268228422863186e-4,-0.03384668359415561,0.09866168709747082
Resazurin_Exp35,A1,A1,ASC397cse,A1,µM,,spline,1.278761160968528,1.1669177526980707,1.4881611387035667,ok,0.10678943723899784,0.06704024695526595,0.17264995934213295
Resazurin_Exp35,A1,A1,ASC399,A1,µM,,spline,0.9145927838007438,0.8984709326520507,0.9438280983550058,ok,-0.03877222955481295,-0.0464959686307094,-0.025107097581241924
Resazurin_Exp35,A1,A1,ASC399cse,A1,µM,,spline,0.9784988529217644,0.9268548740736249,1.1536520377061799,ok,-0.009439679122014799,-0.03298826188908247,0.062074837509660176
Resazurin_Exp35,A2,A2,ASC397,A2,µM,,spline,0.7556522274131591,0.7235416763417076,0.9048139129242805,ok,-0.1216780331569305,-0.14053644825753409,-0.043440730076647345
Resazurin_Exp35,A2,A2,ASC397cse,A2,µM,,spline,0.6431219476334685,0.6322014974419659,0.8906540101482805,ok,-0.19170666912433684,-0.19914447981878558,-0.05029097235531955
Resazurin_Exp35,A2,A2,ASC399,A2,µM,,spline,0.7996387525650822,0.763472090106966,0.8209048052769693,ok,-0.0971061670084543,-0.11720683461814992,-0.08570720212529984
Resazurin_Exp35,A2,A2,ASC399cse,A2,µM,,spline,0.934139295127526,0.8512486477255297,1.0110987875458113,ok,-0.029588358679305038,-0.06994356498906382,0.00479358960691065
Resazurin_Exp35,A3,A3,ASC397,A3,µM,,spline,1.0796390520947952,0.9353498348692872,1.6484080723530745,ok,0.03327858522362023,-0.029025926092762114,0.21706473262385145
Resazurin_Exp35,A3,A3,ASC397cse,A3,µM,,spline,1.2205291530843525,1.1795063577063252,1.2517859657278878,ok,0.08654815726607543,0.07170028613669113,0.09753007819578635
Resazurin_Exp35,A3,A3,ASC399,A3,µM,,spline,1.0928576527654263,1.0505616363677195,1.1183722633097237,ok,0.03856359777362417,0.02142153751219675,0.04858638762111016
Resazurin_Exp35,A3,A3,ASC399cse,A3,µM,,spline,1.1625323468233366,1.0095206590637864,1.3640585186441718,ok,0.06540504573527393,0.004115210873119561,0.134833002123321
Resazurin_Exp35,A4,A4,ASC397,A4,µM,,spline,1.0882486148632657,0.9516222282848239,1.2288286043567558,ok,0.03672812305422507,-0.021535422132150324,0.08949131220054707
Resazurin_Exp35,A4,A4,ASC397cse,A4,µM,,spline,1.0561802127621045,0.9534967197257015,1.1649081764109976,ok,0.02373802684426931,-0.02068079670028021,0.06629169355974045
Resazurin_Exp35,A4,A4,ASC399,A4,µM,,spline,0.7731786138801853,0.7429685654040726,0.7958877438116738,ok,-0.11172016706236065,-0.12902956061405416,-0.09914818311801457
Resazurin_Exp35,A4,A4,ASC399cse,A4,µM,,spline,0.8204737943790453,0.5868782508295527,0.9991275917596052,ok,-0.08593528558995592,-0.23145198474393328,-3.7904745088167003e-4
