compound_name,delta_log2,ci_l2,ci_u2
A2,-0.23263009326676676,-0.4601946926781088,0.2148158250951936
A4,-0.04315216555514188,-0.19740959645203776,0.25002211191610824
A3,0.17695768797045827,-0.433602388500131,0.37624717575769245
A1,0.35518759280911055,0.004522893673941837,0.6106027442667575
