Compound,unit,n,median_ratio,CI_low,CI_high
CSE,%,2,0.9522946158176594,0.8373397433704277,1.067249488264891
CSE_Erastin,%,1,3880.5496450659607,NA,NA
CSE_NAC,%,2,1.0058033646719833,0.9403721477297642,1.0712345816142024
CSE_SFN,%,2,0.8653019189297486,0.8418418589985069,0.8887619788609904
