base,Compound,unit,sample_id,IC50_sample,SE_sample,samplecse_id,IC50_sampleCSE,SE_sampleCSE,ratio,ratio_lwr,ratio_upr,p_value
asc397,H2O2,mM,ASC397,0.5784198580349064,0.046205990989947356,ASC397cse,0.5574965700514029,0.028879775990659023,0.9638268159489075,0.7997516568298806,1.1615632468015176,0.6987746861377093
asc397,Rotenone,mM,ASC397,0.022093396951025298,0.018438056680213546,ASC397cse,0.011428284854765573,0.00753831922030817,0.5172715123934444,0.0643032487353772,4.161062198193332,0.5354682858185573
asc399,H2O2,mM,ASC399,0.5397102195767934,0.03987884049424839,ASC399cse,0.5183036728979828,0.12421301555052897,0.9603369624988828,0.5874231102131745,1.5699877405349258,0.8717961640194493
asc399,Rotenone,mM,ASC399,0.007856578058879212,0.0042932115349045485,ASC399cse,0.016887863579418624,0.0095488554810325,2.149518970327366,0.46026140753945843,10.038712192920736,0.3304610256575807
