sample_id,Compound,Unit,pos,fit_ok,p_trend,ED,SE,Lower,Upper
ASC397,H2O2,mM,A1,TRUE,NA,0.5784198580349064,0.046205990989947356,0.48170960743517294,0.6751301086346397
ASC397,Rotenone,mM,B1,TRUE,NA,0.022093396951025298,0.018438056680213546,-0.016497899197205467,0.06068469309925606
ASC397cse,H2O2,mM,A1,TRUE,NA,0.5574965700514029,0.028879775990659023,0.49705050421702995,0.6179426358857757
ASC397cse,Rotenone,mM,B1,TRUE,NA,0.011428284854765573,0.00753831922030817,-0.004349598603147918,0.027206168312679066
ASC399,H2O2,mM,A1,TRUE,NA,0.5397102195767934,0.03987884049424839,0.4562428471604194,0.6231775919931675
ASC399,Rotenone,mM,B1,TRUE,NA,0.007856578058879212,0.0042932115349045485,-0.0011292169543392263,0.016842373072097648
ASC399cse,H2O2,mM,A1,TRUE,NA,0.5183036728979828,0.12421301555052897,0.25832284348013235,0.7782845023158333
ASC399cse,Rotenone,mM,B1,TRUE,NA,0.016887863579418624,0.0095488554810325,-0.003098120634451026,0.03687384779328827
