comp_base,comp_var,is_cse,Unit,n,median_ratio,CI_low,CI_high
CSE,Erastin,FALSE,%,2,10696.881437046764,0.37070542721526994,21393.392168666313
CSE,Erastin,TRUE,%,1,1717.989412772744,NA,NA
CSE,NAC,FALSE,%,2,1.781656925915736,1.6573464280560029,1.9059674237754691
CSE,NAC,TRUE,%,2,1.8871813638172035,1.8612784505008353,1.9130842771335717
CSE,SFN,FALSE,%,2,1.2859931225070618,1.1593355033509323,1.4126507416631915
CSE,SFN,TRUE,%,2,1.1724124299279362,1.1142928992271341,1.2305319606287382
