Compound,Unit,n,median,CI_low,CI_high
BSO,mM,6,1.1293552649150502,0.2802528222547023,597395005.799799
BSO_CSE,mM,6,0.02668190594715141,0.010986354783053081,0.24776486449466453
Rotenone,mM,6,0.2677736409449691,0.23292286703550075,0.2961609855416967
Rotenone_CSE,mM,6,0.21649846284046786,0.10008739148247411,0.29534217728374945
