Compound,unit,n,median_ratio,CI_low,CI_high
KBrO3,mM,2,1.293068370802833,1.1735393832199357,1.4125973583857303
KBrO3_Erastin,mM,2,0.9662499171497061,0.9454520653445376,0.9870477689548744
KBrO3_NAC,mM,2,1.1380814726626403,1.094878107723309,1.1812848376019718
KBrO3_SFN,mM,2,1.0788997518505663,1.0365221585061326,1.121277345195
