Compound,Unit,n,median,CI_low,CI_high
CSE,%,4,2.3680441089985385,2.1290721991462265,2.9424579717928094
CSE_Erastin,%,3,4232.845885916099,1.0907851394964303,45548.076511740066
CSE_NAC,%,4,4.46644739617005,4.057942254438706,4.876672209255724
CSE_SFN,%,4,3.0197327995620515,2.531953394154581,3.4112959938173804
