comp_base,comp_var,Unit,n,median_ratio,CI_low,CI_high
CSE,Erastin,%,3,1717.989412772744,0.37070542721526994,21393.392168666313
CSE,NAC,%,4,1.8836229371381523,1.6573464280560029,1.9130842771335717
CSE,SFN,%,4,1.1949337319898352,1.1142928992271341,1.4126507416631915
