Compound,Unit,n,median,CI_low,CI_high
CSE,%,8,9.934314011855754,9.444717825040197,10.157951727754869
Erastin,mM,8,3.835615244698468e-4,2.104256681633995e-4,7.287543769016135e-4
Erastin_CSE,mM,8,6.728179190083716e-5,5.561265121064603e-5,8.439059973304668e-5
H2O2,mM,5,1361.0814223762636,0.0015024103786348058,5398.878456587064
KBrO3,mM,8,2.648012926044478,1.6653616932747028,3.1829396681367896
Menadione,mM,8,0.032487120010370324,0.029038385370251923,0.06285152244604444
RSL3,mM,6,0.0011919908171387635,7.856500231607851e-4,0.07669859690282889
RSL3_CSE,mM,8,9.344982518045948e-5,3.097553090460156e-5,1.3440013367960104e-4
