experiment,plate_label,plate_key,sample_name,compound_name,unit,dose_idx,dose,y_mean,y_sd,n,y_err
Resazurin_Exp30,ASC390_A,A1,ASC390,A1,µM,1,0.4,0.9295747462857314,0.024673820787900647,3,0.06129316871219324
Resazurin_Exp30,ASC390_A,A1,ASC390,A1,µM,2,0.8,0.986583843218,0.01287732275416723,3,0.03198904308000744
Resazurin_Exp30,ASC390_A,A1,ASC390,A1,µM,3,1.6,0.9860009276212414,0.008306961285858885,3,0.02063563580025207
Resazurin_Exp30,ASC390_A,A1,ASC390,A1,µM,4,3.1,0.9785084704895628,0.0033799221757713,3,0.008396192139614714
Resazurin_Exp30,ASC390_A,A1,ASC390,A1,µM,5,6.25,0.9372799872419648,0.01846255706622937,3,0.04586353426356291
Resazurin_Exp30,ASC390_A,A1,ASC390,A1,µM,6,12.5,0.07366158464102764,0.04745810361745982,3,0.1178924649242867
Resazurin_Exp30,ASC390_A,A1,ASC390,A1,µM,7,25,0.06478127606124032,0.10110793975982685,3,0.2511660461147665
Resazurin_Exp30,ASC390_A,A1,ASC390,A1,µM,8,50,0.0549574332894949,0.028417383858554517,3,0.07059269491232038
Resazurin_Exp30,ASC390_A,A2,ASC390,A2,µM,1,1e-4,0.9826135287141081,0.015543637452336345,3,0.038612535973123537
Resazurin_Exp30,ASC390_A,A2,ASC390,A2,µM,2,2e-4,0.13889065896977207,0.002636152525605118,3,0.006548565902781551
Resazurin_Exp30,ASC390_A,A2,ASC390,A2,µM,3,0.001,0.016013432153166536,0.01389777544050186,3,0.03452398808118823
Resazurin_Exp30,ASC390_A,A2,ASC390,A2,µM,4,0.004,0.1880082518714602,0.007847376978392218,3,0.019493965090345462
Resazurin_Exp30,ASC390_A,A2,ASC390,A2,µM,5,0.016,0.21685789140275746,0.004439110255019369,3,0.011027361191111239
Resazurin_Exp30,ASC390_A,A2,ASC390,A2,µM,6,0.063,0.1620116028359781,0.0017466703773936767,3,0.004338969754480814
Resazurin_Exp30,ASC390_A,A2,ASC390,A2,µM,7,0.25,0.1253003480119837,0.004447062858770761,3,0.011047116553996681
Resazurin_Exp30,ASC390_A,A2,ASC390,A2,µM,8,1,0.030242976464788435,0.04420513329495007,3,0.1098116386709356
Resazurin_Exp30,ASC390_A,A3,ASC390,A3,µM,1,0.025,0.8547980109481197,0.03157723787425482,3,0.07844220743634722
Resazurin_Exp30,ASC390_A,A3,ASC390,A3,µM,2,0.05,0.9044937257965541,0.0078009753698545705,3,0.019378697104691218
Resazurin_Exp30,ASC390_A,A3,ASC390,A3,µM,3,0.2,0.9783310260739284,0.03499520452876964,3,0.08693290730033261
Resazurin_Exp30,ASC390_A,A3,ASC390,A3,µM,4,0.8,0.652932134493169,0.027891860004714258,3,0.06928722128857143
Resazurin_Exp30,ASC390_A,A3,ASC390,A3,µM,5,3.125,0.17235578684222325,0.05399621278648906,3,0.13413402847461287
Resazurin_Exp30,ASC390_A,A3,ASC390,A3,µM,6,12.5,0.022681197784281897,0.0361084922781852,3,0.08969846738268544
Resazurin_Exp30,ASC390_A,A3,ASC390,A3,µM,7,50,0.07944223809422148,0.11461754765618593,3,0.2847257725610721
Resazurin_Exp30,ASC390_A,A3,ASC390,A3,µM,8,200,0.11476503856079646,0.10265920595373393,3,0.25501960496801446
Resazurin_Exp30,ASC390_A,A4,ASC390,A4,µM,1,5e-5,0.9118141368208709,0.02642214965594436,3,0.0656362583858424
