compound_name,delta_log2,ci_l2,ci_u2
A2,0.05186491266133451,0.023024863667011043,0.1167608549666918
B4,0.11836032564571984,-0.0039481014318778485,0.524174262789301
A4,0.17674072698726673,0.0784407181556119,0.262512239526253
A1,0.3855745893292034,0.33723452577022167,0.46690238614151935
A3,0.4306659999739941,-0.5089371012480602,0.8374911430767412
B1,0.9836189140591157,0.4388427654004091,1.6113843704603135
B3,1.4525314638404794,0.5962398556625069,1.904462363136857
B2,6.76960293479213,6.086169971199646,6.8585364542705705
