compound_name,delta_log2,ci_l2,ci_u2
B1,-0.06217600249825381,-0.270591367522858,0.17652687674496143
A3,-0.053722451616477616,-0.20607132341499482,0.31004175268841633
B2,0,0,0
A2,0.011930570207989119,0.006280240738730787,0.01781586611615556
A1,0.24478717386774823,0.03793240817331873,0.5326278446394938
A4,0.2847126641848112,0.23779254170323993,0.3284880557971871
B3,0.5632694689696673,0.35673110152284754,0.6131937328031415
B4,0.8656333061395854,-0.36286679559369106,1.0273055061533114
